variable;width;initialPos;finalPos;type;valueRegEx;description
T113;1;407;407;char;;últimos 7 días: Número de días de actividades físicas intensas
T114_1;2;408;409;char;;Tiempo al día dedicado a actividades físicas intensas: Horas por día
T114_2;2;410;411;char;;Tiempo al día dedicado a actividades físicas intensas: Minutos por día
T115;1;412;412;char;;últimos 7 días: Número de días de actividades físicas moderadas
T116_1;2;413;414;char;;Tiempo al día dedicado a actividades físicas moderadas: Horas por día
T116_2;2;415;416;char;;Tiempo al día dedicado a actividades físicas moderadas: Minutos por día
T117;1;417;417;char;;últimos 7 días: Tiempo dedicado a caminar (por lo menos durante 10min seguidos)
T118_1;2;418;419;char;;últimos 7 días: Tiempo dedicado a caminar en un día normal (Horas por día)
T118_2;2;420;421;char;;últimos 7 días: Tiempo dedicado a caminar en un día normal (Minutos por día)
T119_1;2;422;423;char;;últimos 7 días: Tiempo sentado en un día normal (Horas por día)
T119_2;2;424;425;char;;últimos 7 días: Tiempo sentado en un día normal (Minutos por día)
U120_1;1;426;426;char;;Frecuencia de consumo de fruta fresca (excluyendo zumos)
U120_1a;2;427;428;char;;Consumo de fruta fresca (excluyendo zumos): Cantidad
U120_2;1;429;429;char;;Frecuencia de consumo de carne (pollo, ternera, cerdo, cordero, etc.)
U120_3;1;430;430;char;;Frecuencia de consumo de huevos 
U120_4;1;431;431;char;;Frecuencia de consumo de pescado
U120_5;1;432;432;char;;Frecuencia de consumo de pasta, arroz, patatas
U120_6;1;433;433;char;;Frecuencia de consumo de pan, cereales  
U120_7;1;434;434;char;;Frecuencia de consumo de verduras, ensaladas y hortalizas
U120_7a;2;435;436;char;;Consumo de verduras, ensaladas y hortalizas: Cantidad
U120_8;1;437;437;char;;Frecuencia de consumo de legumbres
U120_9;1;438;438;char;;Frecuencia de consumo de embutidos y fiambres
U120_10;1;439;439;char;;Frecuencia de consumo de productos l cteos (leche, queso, yogur)
U120_11;1;440;440;char;;Frecuencia de consumo de dulces (galletas, bollería, mermeladas, etc.)
U120_12;1;441;441;char;;Frecuencia de consumo de refrescos con azúcar 
U120_13;1;442;442;char;;Frecuencia de consumo de comida rápida (pollo frito, bocadillos, pizzas, hamburguesas)
U120_14;1;443;443;char;;Frecuencia de consumo de aperitivos o comidas saladas de picar (patatas fritas, ganchitos, galletitas saladas)
U120_15;1;444;444;char;;Frecuencia de consumo de zumo natural de frutas o verduras
U120_15a;2;445;446;char;;Consumo de zumo natural de frutas o verduras: Cantidad
U120FZ;1;447;447;char;;Frecuencia diaria de consumo de fruta fresca o zumos naturales
U120CANTFZ;2;448;449;char;;Consumo de fruta fresca o zumo natural de frutas o verduras: Cantidad
U2_120F;1;450;450;char;;Frecuencia diaria: Cepillado de dientes 
V121;1;451;451;char;;¿Fuma actualmente?
V122;1;452;452;char;;Tipo de tabaco que fuma con mayor frecuencia
V123;2;453;454;char;;Fumadores a diario: Número de cigarrillos que fuma al día
V124;2;455;456;char;;Fumadores a diario: Edad en que comenzó a fumar
V125;1;457;457;char;;Fumadores a diario: Intentos de dejar de fumar en los últimos 12 meses
V126;1;458;458;char;;Frecuencia de exposición a ambientes de humo en lugares cerrados
W127;2;459;460;char;;Frecuencia de consumo de alcohol en los últimos 12 meses
W128Cer;1;461;461;char;;Consumo de cerveza con alcohol
W128Cer_1;2;462;463;char;;Consumo de cerveza con alcohol: Lunes
W128Cer_2;2;464;465;char;;Consumo de cerveza con alcohol: Martes
W128Cer_3;2;466;467;char;;Consumo de cerveza con alcohol: Miércoles
W128Cer_4;2;468;469;char;;Consumo de cerveza con alcohol: Jueves
W128Cer_5;2;470;471;char;;Consumo de cerveza con alcohol: Viernes
W128Cer_6;2;472;473;char;;Consumo de cerveza con alcohol: Sábado 
W128Cer_7;2;474;475;char;;Consumo de cerveza con alcohol: Domingo
W128Vin;1;476;476;char;;Consumo de vinos, cava
W128Vin_1;2;477;478;char;;Consumo de vinos, cava: Lunes
W128Vin_2;2;479;480;char;;Consumo de vinos, cava: Martes
W128Vin_3;2;481;482;char;;Consumo de vinos, cava: Miércoles
W128Vin_4;2;483;484;char;;Consumo de vinos, cava: Jueves
W128Vin_5;2;485;486;char;;Consumo de vinos, cava: Viernes
W128Vin_6;2;487;488;char;;Consumo de vinos, cava: Sábado
W128Vin_7;2;489;490;char;;Consumo de vinos, cava: Domingo
W128Vermut;1;491;491;char;;Consumo de vermuts, fino, jerez
W128Vermut_1;2;492;493;char;;Consumo de vermuts, fino, jerez: Lunes
W128Vermut_2;2;494;495;char;;Consumo de vermuts, fino, jerez: Martes
W128Vermut_3;2;496;497;char;;Consumo de vermuts, fino, jerez: Miércoles
W128Vermut_4;2;498;499;char;;Consumo de vermuts, fino, jerez: Jueves
W128Vermut_5;2;500;501;char;;Consumo de vermuts, fino, jerez: Viernes
W128Vermut_6;2;502;503;char;;Consumo de vermuts, fino, jerez: Sábado
W128Vermut_7;2;504;505;char;;Consumo de vermuts, fino, jerez: Domingo
W128Lic;1;506;506;char;;Consumo de licores, anís, pacharán
W128Lic_1;2;507;508;char;;Consumo de licores, anís, pacharán: Lunes
W128Lic_2;2;509;510;char;;Consumo de licores, anís, pacharán: Martes
W128Lic_3;2;511;512;char;;Consumo de licores, anís, pacharán: Miércoles
W128Lic_4;2;513;514;char;;Consumo de licores, anís, pacharán: Jueves
W128Lic_5;2;515;516;char;;Consumo de licores, anís, pacharán: Viernes
W128Lic_6;2;517;518;char;;Consumo de licores, anís, pacharán: Sábado
W128Lic_7;2;519;520;char;;Consumo de licores, anís, pacharán: Domingo
W128Comb;1;521;521;char;;Consumo de combinados, bebidas destiladas
W128Comb_1;2;522;523;char;;Consumo de combinados, bebidas destiladas: Lunes
W128Comb_2;2;524;525;char;;Consumo de combinados, bebidas destiladas: Martes
W128Comb_3;2;526;527;char;;Consumo de combinados, bebidas destiladas: Miércoles
W128Comb_4;2;528;529;char;;Consumo de combinados, bebidas destiladas: Jueves
W128Comb_5;2;530;531;char;;Consumo de combinados, bebidas destiladas: Viernes
W128Comb_6;2;532;533;char;;Consumo de combinados, bebidas destiladas: Sábado
W128Comb_7;2;534;535;char;;Consumo de combinados, bebidas destiladas: Domingo
W128Sidra;1;536;536;char;;Consumo de bebidas locales, sidra, carajillo
W128Sidra_1;2;537;538;char;;Consumo de bebidas locales, sidra, carajillo: Lunes
W128Sidra_2;2;539;540;char;;Consumo de bebidas locales, sidra, carajillo: Martes
W128Sidra_3;2;541;542;char;;Consumo de bebidas locales, sidra, carajillo: Miércoles
W128Sidra_4;2;543;544;char;;Consumo de bebidas locales, sidra, carajillo: Jueves
W128Sidra_5;2;545;546;char;;Consumo de bebidas locales, sidra, carajillo: Viernes
W128Sidra_6;2;547;548;char;;Consumo de bebidas locales, sidra, carajillo: Sábado
W128Sidra_7;2;549;550;char;;Consumo de bebidas locales, sidra, carajillo: Domingo
W129;2;551;552;char;;Frecuencia de consumo de 5-6 o más bebidas alcohólicas estándar en una misma ocasión durante los últimos 12 meses 
X130_1;1;553;553;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Visitas de mis amigos y familiares
X130_2;1;554;554;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Ayuda en asuntos relacionados con la casa
X130_3;1;555;555;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Elogios y reconocimientos al hacer bien el trabajo
X130_4;1;556;556;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Contar con personas que se preocupan de lo que le sucede
X130_5;1;557;557;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Recibir amor y afecto
X130_6;1;558;558;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Tener la posibilidad de hablar con alguien de sus problemas en el trabajo o en la casa
X130_7;1;559;559;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Tener la posibilidad de hablar con alguien de sus problemas personales y familiares
X130_8;1;560;560;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Tener la posibilidad de hablar con alguien de sus problemas económicos
X130_9;1;561;561;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Recibir invitaciones para distraerse y salir con otras personas
X130_10;1;562;562;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Recibir consejos útiles cuando le ocurre algún acontecimiento importante en su vida
X130_11;1;563;563;char;;Situaciones de apoyo afectivo y personal en la vida diaria: Recibir ayuda cuando est  enfermo en la cama
Y133;1;564;564;char;;Cuidado de personas mayores o de alguien que tenga una dolencia crónica al menos una vez a la semana
Y134;1;565;565;char;;Cuidado de personas: Parentesco con el cuidador
Y135;1;566;566;char;;Cuidado de personas: Horas a la semana dedicadas en total
FACTORADULTO;11;567;577;num;;Factor de elevación del adulto (4 decimales)
CLASE_PR;1;578;578;char;;Variable derivada: Clase social basada en la ocupación de la persona de referencia
IMCa;1;579;579;char;;Variable derivada: Öndice de masa corporal (IMC) del adulto
CMD1;5;580;584;num;;Variable derivada: Consumo medio diario de alcohol semanal (lunes a domingo)
CMD2;5;585;589;num;;Variable derivada: Consumo medio diario de alcohol entre semana (lunes a jueves)
CMD3;5;590;594;num;;Variable derivada: Consumo medio diario de alcohol en fin de semana (viernes a domingo)
